url,entityID
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191727.html,Stéphane Richelmi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191735.html,Felipe Nasr
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191736.html,Jolyon Palmer
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191740.html,James Calado
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191774.html,Julián Leal
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191775.html,Tom Dillmann 
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191779.html,Daniel Abt
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191780.html,Simon Trummer
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191781.html,Stefano Coletti
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191782.html,Gianmarco Raimondo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191783.html,Jon Lancaster
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191784.html,Adrian Quaife-Hobbs
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191785.html,Dani Clos
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191787.html,Rene Binder
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191788.html,Alexander Rossi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191789.html,Marcus Ericsson
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191790.html,Rio Haryanto
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191792.html,Sam Bird
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191793.html,Johnny Cecotto
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191794.html,Mitch Evans
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191795.html,Fabio Leimer
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191797.html,Daniel De Jong
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191798.html,Vittorio Ghirelli
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191799.html,Jake Rosenzweig
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191800.html,Nathanaël Berthon
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191804.html,Sergio Canamasas
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196216.html,Esteban Gutiérrez
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196217.html,Luiz Razia
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196218.html,Davide Valsecchi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196219.html,Giedo Van Der Garde
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196220.html,Max Chilton
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196221.html,Josef Král
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196222.html,Luca Filippi 
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/196223.html,Romain Grosjean
