url,entityID
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/511400.html,Ricardo MaurÃ­cio
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585490.html,Beto Cavaleiro
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585504.html,Ã�tila Abreu
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585511.html,PopÃ³ Bueno
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585517.html,Valdeno Brito
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585557.html,Galid Osman
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585564.html,Julio Campos
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585577.html,Ricardo Sperafico
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585583.html,Denis Navarro
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585598.html,FÃ¡bio FogaÃ§a
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585604.html,Thiago Camilo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585613.html,Vitor Genz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585618.html,CacÃ¡ Bueno
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585622.html,Rodrigo Sperafico
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585628.html,Rodrigo Pimenta
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585634.html,Ricardo Zonta
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585639.html,Diego Nunes
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585644.html,Marcos Gomes
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585646.html,Alceu Feldmann
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585657.html,Rafa Matos
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585668.html,Rubens Barrichello
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585681.html,David Muffato
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585701.html,Felipe Lapenna
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585705.html,Wellington Justino
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585719.html,Tuka Rocha
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585726.html,Lico Kaesemodel
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585737.html,NonÃ´ Figueiredo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585742.html,Allam Khodair
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585747.html,Daniel Serra
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585753.html,Luciano Burti
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585776.html,Gabriel Casagrande
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585784.html,Duda Pamplona
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585792.html,SÃ©rgio Jimenez
/home/edimar/doutorado/doutorado04/bases/ORION/driver/stock_car/585805.html,Max Wilson
